順位,騎手名,,騎乗回数,1着,2着,3着,4着以下,勝率,連対率,収得賞金（円）,騎手パワー,
19,伊藤裕人,川崎,261,12,12,14,223,4.60%,9.20%,"46,492,500",,
20,松山弘平,川崎,5,1,0,1,3,20.00%,20.00%,"46,000,000",,
21,古岡勇樹,川崎,201,9,23,9,160,4.50%,15.90%,"42,630,000",,
22,岩田望来,川崎,3,1,0,0,2,33.30%,33.30%,"42,600,000",,
23,本橋孝太,川崎,103,5,9,6,83,4.90%,13.60%,"40,220,000",,
24,増田充宏,川崎,250,11,14,13,212,4.40%,10.00%,"39,960,000",,
25,安藤洋一,川崎,22,5,1,1,15,22.70%,27.30%,"39,320,000",,
26,Ｃ．ルメール,川崎,1,1,0,0,0,100.00%,100.00%,"35,000,000",,
27,中越琉世,川崎,191,9,11,14,157,4.70%,10.50%,"33,805,000",,
28,小野楓馬,川崎,25,2,2,2,19,8.00%,16.00%,"30,530,000",,
29,山林堂信彦,川崎,188,13,6,14,155,6.90%,10.10%,"29,295,000",,
